,PROD_CD,SLSMAN_CD,PLAN_MONTH,PLAN_YEAR,TARGET_IN_EA,ACH_IN_EA
3987,PROD_42,SLSMAN_29,12,2019,108,134
6329,PROD_26,SLSMAN_45,10,2019,252,264
20681,PROD_35,SLSMAN_159,11,2019,"2,688","4,205"
6827,PROD_35,SLSMAN_48,11,2019,"17,472","15,856"
12677,PROD_18,SLSMAN_98,11,2019,372,242
5395,PROD_26,SLSMAN_39,11,2019,36,19
20095,PROD_11,SLSMAN_154,10,2019,144,167
26769,PROD_31,SLSMAN_209,1,2020,400,0
18979,PROD_42,SLSMAN_142,1,2020,108,0
5908,PROD_61,SLSMAN_42,11,2019,"2,940","3,849"
1118,PROD_17,SLSMAN_8,11,2019,"3,708","1,116"
3829,PROD_86,SLSMAN_27,12,2019,0,22
19431,PROD_28,SLSMAN_146,11,2019,0,6
1039,PROD_52,SLSMAN_7,1,2020,400,0
21255,PROD_18,SLSMAN_163,10,2019,"7,392","7,841"
5058,PROD_11,SLSMAN_37,1,2020,540,0
13066,PROD_42,SLSMAN_100,12,2019,108,118
2953,PROD_50,SLSMAN_19,11,2019,"46,512","42,919"
19084,PROD_23,SLSMAN_143,1,2020,72,0
2511,PROD_11,SLSMAN_17,10,2019,252,124
17622,PROD_27,SLSMAN_131,12,2019,144,137
5076,PROD_16,SLSMAN_37,11,2019,"16,236","5,367"
15287,PROD_37,SLSMAN_114,11,2019,108,208
16412,PROD_62,SLSMAN_123,1,2020,"16,464",0
4239,PROD_32,SLSMAN_31,10,2019,324,312
6171,PROD_31,SLSMAN_44,10,2019,"5,600",800
8322,PROD_19,SLSMAN_60,12,2019,"34,104","21,342"
12071,PROD_14,SLSMAN_94,1,2020,"6,408",0
1283,PROD_18,SLSMAN_9,11,2019,"1,272",101
10894,PROD_83,SLSMAN_85,11,2019,0,"7,038"
1502,PROD_37,SLSMAN_10,12,2019,144,88
2443,PROD_47,SLSMAN_16,12,2019,"1,128",794
13398,PROD_51,SLSMAN_102,11,2019,0,785
24865,PROD_15,SLSMAN_191,12,2019,"1,596","1,656"
3475,PROD_13,SLSMAN_25,1,2020,"1,044",0
3249,PROD_10,SLSMAN_23,10,2019,0,200
1431,PROD_13,SLSMAN_10,1,2020,"2,484",0
20677,PROD_33,SLSMAN_159,11,2019,"5,472","4,706"
17844,PROD_58,SLSMAN_132,12,2019,"24,864","28,179"
24984,PROD_80,SLSMAN_191,11,2019,720,402
9651,PROD_37,SLSMAN_74,12,2019,144,118
20029,PROD_56,SLSMAN_152,11,2019,180,181
1268,PROD_14,SLSMAN_9,1,2020,"19,620",0
18059,PROD_59,SLSMAN_134,12,2019,"1,260",860
16420,PROD_80,SLSMAN_123,11,2019,792,685
9321,PROD_33,SLSMAN_70,10,2019,"5,796","2,880"
13369,PROD_37,SLSMAN_102,12,2019,36,73
18481,PROD_5,SLSMAN_139,1,2020,160,0
5825,PROD_18,SLSMAN_42,1,2020,"1,656",0
14,PROD_11,SLSMAN_1,11,2019,540,296
9455,PROD_61,SLSMAN_71,11,2019,0,91
15089,PROD_21,SLSMAN_113,10,2019,12,0
21773,PROD_47,SLSMAN_166,11,2019,768,"1,208"
11027,PROD_61,SLSMAN_86,11,2019,"2,814","4,490"
18612,PROD_61,SLSMAN_139,10,2019,"6,636","5,488"
10506,PROD_22,SLSMAN_83,12,2019,"12,800","11,500"
3559,PROD_39,SLSMAN_25,12,2019,360,208
21002,PROD_39,SLSMAN_161,1,2020,540,0
12944,PROD_61,SLSMAN_99,11,2019,"6,846","3,338"
18512,PROD_18,SLSMAN_139,10,2019,"8,832","9,774"
4217,PROD_22,SLSMAN_31,11,2019,"17,200","38,740"
21996,PROD_13,SLSMAN_169,1,2020,"14,400",0
8014,PROD_48,SLSMAN_57,1,2020,120,0
5419,PROD_36,SLSMAN_39,11,2019,48,11
3386,PROD_62,SLSMAN_23,1,2020,"4,452",0
21233,PROD_11,SLSMAN_163,1,2020,216,0
1607,PROD_18,SLSMAN_11,11,2019,852,156
14335,PROD_36,SLSMAN_108,12,2019,24,12
969,PROD_22,SLSMAN_7,10,2019,"13,600","1,950"
22080,PROD_47,SLSMAN_169,12,2019,"1,464","1,863"
6375,PROD_45,SLSMAN_45,10,2019,"1,344",561
12144,PROD_45,SLSMAN_94,12,2019,624,729
15461,PROD_43,SLSMAN_115,12,2019,0,"3,938"
25210,PROD_26,SLSMAN_193,12,2019,96,170
18233,PROD_58,SLSMAN_136,10,2019,"24,696","27,900"
24392,PROD_51,SLSMAN_186,11,2019,0,"1,300"
18736,PROD_44,SLSMAN_140,11,2019,0,0
3279,PROD_18,SLSMAN_23,10,2019,"1,704","2,775"
3144,PROD_36,SLSMAN_21,12,2019,24,28
9550,PROD_47,SLSMAN_73,1,2020,"1,248",0
23116,PROD_15,SLSMAN_178,11,2019,"2,604","2,647"
13052,PROD_37,SLSMAN_100,10,2019,72,91
18275,PROD_38,SLSMAN_137,11,2019,0,1
13500,PROD_26,SLSMAN_103,10,2019,180,143
22169,PROD_22,SLSMAN_170,1,2020,"12,400",0
4326,PROD_3,SLSMAN_32,10,2019,40,0
10202,PROD_15,SLSMAN_81,1,2020,"6,984",0
8966,PROD_35,SLSMAN_66,10,2019,"14,592","17,316"
24885,PROD_22,SLSMAN_191,12,2019,"1,200","1,977"
2646,PROD_74,SLSMAN_17,10,2019,0,0
12117,PROD_31,SLSMAN_94,11,2019,"60,400","232,000"
6413,PROD_80,SLSMAN_45,1,2020,528,0
4524,PROD_17,SLSMAN_33,12,2019,"7,416",0
247,PROD_43,SLSMAN_2,11,2019,0,"3,393"
22127,PROD_2,SLSMAN_170,10,2019,0,28
7986,PROD_36,SLSMAN_57,11,2019,48,84
15916,PROD_81,SLSMAN_119,11,2019,192,143
16131,PROD_5,SLSMAN_122,11,2019,400,212
15596,PROD_18,SLSMAN_117,10,2019,"3,096","2,895"
7468,PROD_14,SLSMAN_53,11,2019,"18,468","19,135"
3542,PROD_35,SLSMAN_25,11,2019,"9,216","8,521"
22543,PROD_45,SLSMAN_172,11,2019,384,288
6743,PROD_3,SLSMAN_48,12,2019,320,0
19307,PROD_56,SLSMAN_144,11,2019,468,622
27633,PROD_86,SLSMAN_214,12,2019,0,13
6796,PROD_22,SLSMAN_48,12,2019,"53,600","64,760"
18786,PROD_82,SLSMAN_140,12,2019,"4,158","2,446"
598,PROD_84,SLSMAN_4,12,2019,0,101
26953,PROD_36,SLSMAN_210,10,2019,24,42
23776,PROD_83,SLSMAN_182,1,2020,"5,880",0
24299,PROD_15,SLSMAN_186,11,2019,"3,372","3,253"
14394,PROD_80,SLSMAN_108,1,2020,312,0
1110,PROD_15,SLSMAN_8,10,2019,"2,820","2,960"
25258,PROD_47,SLSMAN_193,10,2019,"1,440","1,186"
25019,PROD_15,SLSMAN_192,10,2019,"1,896","1,999"
19835,PROD_42,SLSMAN_150,12,2019,108,91
19762,PROD_16,SLSMAN_150,1,2020,360,0
12840,PROD_19,SLSMAN_99,10,2019,"5,544","9,292"
3250,PROD_10,SLSMAN_23,11,2019,0,54
5072,PROD_15,SLSMAN_37,11,2019,"2,148","1,939"
25183,PROD_17,SLSMAN_193,1,2020,"8,820",0
17864,PROD_80,SLSMAN_132,12,2019,"1,032",556
23087,PROD_62,SLSMAN_177,11,2019,0,19
24432,PROD_82,SLSMAN_186,1,2020,"4,662",0
7825,PROD_32,SLSMAN_56,12,2019,48,35
11370,PROD_15,SLSMAN_89,1,2020,"1,632",0
17803,PROD_38,SLSMAN_132,11,2019,180,174
17851,PROD_61,SLSMAN_132,12,2019,0,198
11021,PROD_59,SLSMAN_86,1,2020,"2,520",0
2989,PROD_81,SLSMAN_19,1,2020,432,0
27458,PROD_58,SLSMAN_213,1,2020,"4,032",0
26201,PROD_79,SLSMAN_202,11,2019,0,210
14006,PROD_27,SLSMAN_106,1,2020,108,0
4138,PROD_51,SLSMAN_30,12,2019,0,723
2172,PROD_68,SLSMAN_14,10,2019,0,0
9192,PROD_58,SLSMAN_68,1,2020,"6,888",0
2430,PROD_42,SLSMAN_16,10,2019,180,233
25216,PROD_31,SLSMAN_193,10,2019,0,"1,424"
25102,PROD_47,SLSMAN_192,11,2019,"1,608","1,516"
17592,PROD_16,SLSMAN_131,12,2019,"1,224","1,299"
19164,PROD_61,SLSMAN_143,1,2020,"6,048",0
3227,PROD_25,SLSMAN_22,11,2019,0,1
1440,PROD_15,SLSMAN_10,10,2019,"4,812","4,775"
5547,PROD_31,SLSMAN_40,10,2019,"2,800","8,227"
28079,PROD_62,SLSMAN_218,11,2019,0,"13,119"
24208,PROD_42,SLSMAN_185,11,2019,72,55
1216,PROD_61,SLSMAN_8,10,2019,"4,116","1,963"
10020,PROD_82,SLSMAN_79,1,2020,"3,234",0
6270,PROD_8,SLSMAN_45,12,2019,0,48
13162,PROD_19,SLSMAN_101,11,2019,"2,688","3,390"
26635,PROD_37,SLSMAN_208,12,2019,72,100
15483,PROD_58,SLSMAN_115,12,2019,"10,080","7,308"
636,PROD_18,SLSMAN_5,11,2019,"1,152",338
13875,PROD_38,SLSMAN_105,10,2019,288,260
8027,PROD_56,SLSMAN_57,1,2020,"1,836",0
10106,PROD_37,SLSMAN_80,12,2019,108,103
14707,PROD_61,SLSMAN_110,10,2019,"3,486","3,337"
9147,PROD_35,SLSMAN_68,1,2020,"7,200",0
5266,PROD_35,SLSMAN_38,11,2019,"1,440","1,368"
5287,PROD_42,SLSMAN_38,12,2019,108,74
14536,PROD_54,SLSMAN_109,1,2020,12,0
14001,PROD_25,SLSMAN_106,12,2019,288,302
15787,PROD_11,SLSMAN_119,12,2019,432,297
12617,PROD_61,SLSMAN_97,1,2020,"2,142",0
17779,PROD_31,SLSMAN_132,11,2019,400,0
9422,PROD_16,SLSMAN_71,12,2019,0,68
8446,PROD_10,SLSMAN_61,11,2019,0,4
3342,PROD_39,SLSMAN_23,1,2020,576,0
17012,PROD_39,SLSMAN_127,10,2019,396,332
9377,PROD_58,SLSMAN_70,11,2019,"26,208","23,010"
379,PROD_36,SLSMAN_3,11,2019,0,6
1947,PROD_31,SLSMAN_13,11,2019,0,800
9991,PROD_54,SLSMAN_79,11,2019,12,0
12332,PROD_81,SLSMAN_95,11,2019,240,345
24625,PROD_20,SLSMAN_189,11,2019,0,72
18081,PROD_83,SLSMAN_134,11,2019,0,"1,012"
11744,PROD_86,SLSMAN_91,12,2019,0,589
2896,PROD_27,SLSMAN_19,11,2019,144,135
28110,PROD_59,SLSMAN_219,12,2019,0,"1,722"
14129,PROD_14,SLSMAN_107,10,2019,"23,112","24,667"
11097,PROD_22,SLSMAN_87,11,2019,"2,000",0
445,PROD_81,SLSMAN_3,10,2019,0,120
25414,PROD_56,SLSMAN_194,1,2020,36,0
1716,PROD_81,SLSMAN_11,1,2020,144,0
23769,PROD_81,SLSMAN_182,1,2020,144,0
10326,PROD_5,SLSMAN_82,11,2019,80,73
10402,PROD_39,SLSMAN_82,10,2019,324,303
27818,PROD_26,SLSMAN_216,1,2020,24,0
514,PROD_27,SLSMAN_4,1,2020,108,0
24024,PROD_31,SLSMAN_184,12,2019,"1,200",800
743,PROD_81,SLSMAN_5,11,2019,0,36
8058,PROD_81,SLSMAN_57,11,2019,0,60
9371,PROD_56,SLSMAN_70,1,2020,360,0
4926,PROD_13,SLSMAN_36,1,2020,"1,980",0
898,PROD_62,SLSMAN_6,11,2019,"5,250","2,085"
18895,PROD_11,SLSMAN_142,12,2019,324,214
4942,PROD_17,SLSMAN_36,1,2020,"38,484",0
3844,PROD_16,SLSMAN_28,12,2019,0,65
17744,PROD_16,SLSMAN_132,1,2020,"3,240",0
11464,PROD_59,SLSMAN_89,11,2019,"3,864","3,831"
21129,PROD_28,SLSMAN_162,10,2019,6,11
5517,PROD_17,SLSMAN_40,12,2019,"31,464",0
9707,PROD_3,SLSMAN_75,11,2019,0,8
27518,PROD_18,SLSMAN_214,10,2019,312,378
18434,PROD_56,SLSMAN_138,10,2019,108,218
20782,PROD_15,SLSMAN_160,11,2019,"1,332","1,429"
27679,PROD_25,SLSMAN_215,10,2019,144,221
24354,PROD_35,SLSMAN_186,11,2019,"9,888","12,011"
9605,PROD_9,SLSMAN_74,11,2019,0,40
15518,PROD_16,SLSMAN_116,12,2019,0,6
26158,PROD_6,SLSMAN_202,11,2019,0,997
3546,PROD_36,SLSMAN_25,11,2019,24,67
19461,PROD_39,SLSMAN_146,10,2019,468,412
1783,PROD_23,SLSMAN_12,12,2019,144,224
16217,PROD_37,SLSMAN_122,11,2019,108,165
21107,PROD_19,SLSMAN_162,12,2019,840,"1,035"
5327,PROD_80,SLSMAN_38,10,2019,840,861
20986,PROD_35,SLSMAN_161,1,2020,"4,128",0
22120,PROD_82,SLSMAN_169,12,2019,"7,266","7,648"
3510,PROD_21,SLSMAN_25,12,2019,108,9
11122,PROD_35,SLSMAN_87,12,2019,288,21
478,PROD_15,SLSMAN_4,1,2020,"11,220",0
24853,PROD_11,SLSMAN_191,12,2019,180,147
20985,PROD_33,SLSMAN_161,12,2019,"6,156","8,055"
20556,PROD_47,SLSMAN_158,10,2019,768,698
14760,PROD_15,SLSMAN_111,10,2019,"2,640","2,639"
22497,PROD_26,SLSMAN_172,10,2019,360,296
14793,PROD_27,SLSMAN_111,12,2019,108,37
10188,PROD_10,SLSMAN_81,11,2019,0,27
6055,PROD_56,SLSMAN_43,1,2020,216,0
12920,PROD_50,SLSMAN_99,1,2020,"31,728",0
17839,PROD_56,SLSMAN_132,11,2019,180,212
23646,PROD_15,SLSMAN_182,12,2019,"4,692","4,522"
11943,PROD_19,SLSMAN_93,12,2019,"15,960","16,758"
2137,PROD_45,SLSMAN_14,12,2019,144,445
16907,PROD_82,SLSMAN_126,11,2019,0,"1,052"
26713,PROD_5,SLSMAN_209,11,2019,160,107
28255,PROD_7,SLSMAN_224,11,2019,0,325
15569,PROD_10,SLSMAN_117,11,2019,0,25
18146,PROD_17,SLSMAN_136,11,2019,"7,020","2,268"
20616,PROD_10,SLSMAN_159,12,2019,0,102
26096,PROD_62,SLSMAN_200,1,2020,"2,250",0
16366,PROD_38,SLSMAN_123,1,2020,396,0
4636,PROD_80,SLSMAN_33,1,2020,792,0
12028,PROD_61,SLSMAN_93,1,2020,"2,520",0
7071,PROD_86,SLSMAN_49,12,2019,0,171
21795,PROD_57,SLSMAN_166,12,2019,0,36
20469,PROD_13,SLSMAN_158,12,2019,432,390
643,PROD_22,SLSMAN_5,10,2019,"7,200","1,600"
3203,PROD_80,SLSMAN_21,11,2019,432,290
9784,PROD_42,SLSMAN_75,11,2019,0,142
11422,PROD_37,SLSMAN_89,1,2020,396,0
25330,PROD_16,SLSMAN_194,10,2019,0,"4,304"
4056,PROD_14,SLSMAN_30,12,2019,"27,216","22,609"
25149,PROD_4,SLSMAN_193,11,2019,40,0
5071,PROD_15,SLSMAN_37,10,2019,"2,244","2,217"
18787,PROD_83,SLSMAN_140,1,2020,"3,444",0
17469,PROD_31,SLSMAN_130,1,2020,400,0
24909,PROD_32,SLSMAN_191,1,2020,"1,128",0
8991,PROD_45,SLSMAN_66,1,2020,576,0
6574,PROD_81,SLSMAN_46,1,2020,120,0
27629,PROD_82,SLSMAN_214,12,2019,0,"4,275"
4033,PROD_81,SLSMAN_29,12,2019,0,40
22893,PROD_81,SLSMAN_174,10,2019,0,48
1428,PROD_11,SLSMAN_10,10,2019,324,411
11948,PROD_23,SLSMAN_93,1,2020,108,0
14036,PROD_39,SLSMAN_106,1,2020,288,0
5586,PROD_45,SLSMAN_40,11,2019,"2,112","1,271"
6697,PROD_50,SLSMAN_47,10,2019,"130,416","111,595"
12688,PROD_23,SLSMAN_98,10,2019,144,80
11103,PROD_25,SLSMAN_87,1,2020,"2,016",0
11958,PROD_26,SLSMAN_93,11,2019,12,0
23609,PROD_81,SLSMAN_181,10,2019,96,114
11342,PROD_82,SLSMAN_88,11,2019,0,"4,788"
11986,PROD_37,SLSMAN_93,11,2019,180,131
15753,PROD_51,SLSMAN_118,12,2019,0,66
25947,PROD_37,SLSMAN_198,1,2020,36,0
11079,PROD_16,SLSMAN_87,1,2020,"16,740",0
19783,PROD_23,SLSMAN_150,10,2019,72,64
28025,PROD_59,SLSMAN_217,11,2019,"1,218","1,229"
4376,PROD_22,SLSMAN_32,11,2019,"2,800","8,620"
21475,PROD_54,SLSMAN_164,11,2019,12,0
12226,PROD_18,SLSMAN_95,10,2019,"2,292","2,761"
23908,PROD_54,SLSMAN_183,1,2020,12,0
26139,PROD_61,SLSMAN_201,1,2020,130,0
2026,PROD_70,SLSMAN_13,10,2019,0,24
15947,PROD_37,SLSMAN_120,12,2019,0,3
19605,PROD_25,SLSMAN_148,10,2019,468,533
27301,PROD_47,SLSMAN_212,12,2019,"1,872","2,241"
14505,PROD_39,SLSMAN_109,1,2020,396,0
16971,PROD_23,SLSMAN_127,1,2020,144,0
7793,PROD_17,SLSMAN_56,1,2020,"3,204",0
26404,PROD_14,SLSMAN_206,1,2020,"22,320",0
20717,PROD_50,SLSMAN_159,10,2019,"51,840","54,246"
17513,PROD_47,SLSMAN_130,10,2019,"2,352","1,307"
2702,PROD_19,SLSMAN_18,1,2020,"2,184",0
19997,PROD_37,SLSMAN_152,12,2019,180,144
8971,PROD_36,SLSMAN_66,11,2019,24,2
27822,PROD_27,SLSMAN_216,1,2020,72,0
4628,PROD_67,SLSMAN_33,10,2019,0,119
17957,PROD_16,SLSMAN_134,11,2019,"2,052",513
4041,PROD_5,SLSMAN_30,1,2020,160,0
13470,PROD_16,SLSMAN_103,12,2019,"2,844","1,410"
4922,PROD_11,SLSMAN_36,1,2020,396,0
5633,PROD_82,SLSMAN_40,11,2019,0,811
20580,PROD_61,SLSMAN_158,10,2019,"2,520","1,555"
26022,PROD_7,SLSMAN_199,12,2019,0,"3,504"
27462,PROD_59,SLSMAN_213,1,2020,378,0
15902,PROD_61,SLSMAN_119,12,2019,"3,906",0
21491,PROD_62,SLSMAN_164,11,2019,"2,436","1,701"
4571,PROD_36,SLSMAN_33,12,2019,48,6
24560,PROD_38,SLSMAN_188,10,2019,0,196
5122,PROD_36,SLSMAN_37,12,2019,72,51
18955,PROD_33,SLSMAN_142,1,2020,"2,340",0
3688,PROD_14,SLSMAN_27,12,2019,"28,476","33,287"
27459,PROD_58,SLSMAN_213,10,2019,"3,024","3,912"
24597,PROD_80,SLSMAN_188,10,2019,0,300
24468,PROD_25,SLSMAN_187,11,2019,0,45
10605,PROD_83,SLSMAN_83,11,2019,0,"1,783"
26303,PROD_38,SLSMAN_204,11,2019,216,150
24631,PROD_25,SLSMAN_189,11,2019,0,15
20326,PROD_27,SLSMAN_156,11,2019,684,534
10943,PROD_22,SLSMAN_86,12,2019,"6,800","8,000"
17891,PROD_19,SLSMAN_133,12,2019,0,115
843,PROD_37,SLSMAN_6,1,2020,180,0
15246,PROD_22,SLSMAN_114,10,2019,"20,400","2,480"
21600,PROD_45,SLSMAN_165,1,2020,912,0
4213,PROD_19,SLSMAN_31,11,2019,"1,680","1,382"
19994,PROD_37,SLSMAN_152,1,2020,216,0
18976,PROD_39,SLSMAN_142,10,2019,324,329
11480,PROD_81,SLSMAN_89,1,2020,264,0
2966,PROD_58,SLSMAN_19,11,2019,"32,256","35,951"
17270,PROD_16,SLSMAN_129,10,2019,0,576
9524,PROD_36,SLSMAN_73,10,2019,24,31
5091,PROD_22,SLSMAN_37,10,2019,"9,200","1,200"
26595,PROD_21,SLSMAN_208,12,2019,12,12
6113,PROD_13,SLSMAN_44,11,2019,"4,500","3,427"
8598,PROD_47,SLSMAN_62,1,2020,"3,528",0
1272,PROD_15,SLSMAN_9,1,2020,"3,768",0
20183,PROD_45,SLSMAN_154,10,2019,288,367
10435,PROD_58,SLSMAN_82,11,2019,"10,920","12,046"
15457,PROD_42,SLSMAN_115,10,2019,72,63
26692,PROD_76,SLSMAN_208,10,2019,0,621
6142,PROD_20,SLSMAN_44,12,2019,96,24
3871,PROD_38,SLSMAN_28,10,2019,0,4
8422,PROD_61,SLSMAN_60,12,2019,"7,182",27
17052,PROD_61,SLSMAN_127,12,2019,"5,586",488
9833,PROD_82,SLSMAN_75,12,2019,"1,890","1,239"
8195,PROD_47,SLSMAN_58,12,2019,"2,808","1,412"
19960,PROD_25,SLSMAN_152,1,2020,396,0
6072,PROD_62,SLSMAN_43,10,2019,"8,190","4,282"
17962,PROD_18,SLSMAN_134,11,2019,"1,524",332
8030,PROD_56,SLSMAN_57,12,2019,"1,440","1,061"
18840,PROD_47,SLSMAN_141,11,2019,"2,352","3,611"
76,PROD_33,SLSMAN_1,12,2019,216,72
3516,PROD_23,SLSMAN_25,10,2019,36,73
2205,PROD_11,SLSMAN_15,11,2019,0,0
3683,PROD_13,SLSMAN_27,11,2019,"2,268","1,734"
12620,PROD_61,SLSMAN_97,12,2019,"2,016",70
13885,PROD_42,SLSMAN_105,12,2019,108,125
26385,PROD_59,SLSMAN_205,11,2019,0,37
11680,PROD_36,SLSMAN_91,12,2019,48,74
13860,PROD_33,SLSMAN_105,11,2019,"2,196","2,501"
24706,PROD_16,SLSMAN_190,1,2020,"1,584",0
5577,PROD_39,SLSMAN_40,12,2019,324,351
5083,PROD_18,SLSMAN_37,10,2019,"6,804","8,275"
16819,PROD_26,SLSMAN_126,1,2020,312,0
11209,PROD_11,SLSMAN_88,10,2019,"1,440","1,355"
9760,PROD_27,SLSMAN_75,11,2019,0,73
12636,PROD_82,SLSMAN_97,12,2019,0,"2,403"
16620,PROD_15,SLSMAN_125,12,2019,"4,020","4,162"
22038,PROD_27,SLSMAN_169,10,2019,216,243
22336,PROD_23,SLSMAN_171,12,2019,108,105
20299,PROD_17,SLSMAN_156,12,2019,"21,060",0
1084,PROD_86,SLSMAN_7,12,2019,0,114
15774,PROD_5,SLSMAN_119,1,2020,400,0
21291,PROD_35,SLSMAN_163,12,2019,"5,088","6,638"
1053,PROD_58,SLSMAN_7,11,2019,"14,112","12,733"
22648,PROD_26,SLSMAN_173,1,2020,408,0
950,PROD_16,SLSMAN_7,12,2019,"1,476",691
27658,PROD_17,SLSMAN_215,1,2020,"2,556",0
5808,PROD_13,SLSMAN_42,12,2019,"1,476",755
24443,PROD_13,SLSMAN_187,10,2019,0,274
2409,PROD_35,SLSMAN_16,10,2019,"2,592","5,311"
10191,PROD_11,SLSMAN_81,10,2019,72,18
22170,PROD_22,SLSMAN_170,10,2019,"11,200",0
8610,PROD_55,SLSMAN_62,11,2019,0,72
4415,PROD_37,SLSMAN_32,10,2019,144,119
16087,PROD_51,SLSMAN_121,11,2019,0,174
687,PROD_38,SLSMAN_5,12,2019,144,101
8762,PROD_25,SLSMAN_64,12,2019,144,220
27370,PROD_17,SLSMAN_213,11,2019,"1,764",720
1340,PROD_37,SLSMAN_9,12,2019,36,20
4671,PROD_16,SLSMAN_34,12,2019,288,"1,385"
4539,PROD_23,SLSMAN_33,11,2019,36,41
20542,PROD_39,SLSMAN_158,10,2019,324,308
23572,PROD_50,SLSMAN_181,12,2019,"33,696","26,740"
5920,PROD_81,SLSMAN_42,1,2020,24,0
24663,PROD_58,SLSMAN_189,12,2019,0,240
10133,PROD_50,SLSMAN_80,11,2019,"27,360","22,876"
2044,PROD_83,SLSMAN_13,12,2019,"1,974","1,393"
24415,PROD_61,SLSMAN_186,10,2019,"3,360","3,809"
1739,PROD_11,SLSMAN_12,1,2020,180,0
23999,PROD_22,SLSMAN_184,11,2019,"23,200","37,690"
22654,PROD_27,SLSMAN_173,11,2019,72,123
8560,PROD_32,SLSMAN_62,10,2019,564,577
27539,PROD_26,SLSMAN_214,11,2019,108,110
16779,PROD_15,SLSMAN_126,1,2020,"3,108",0
2369,PROD_15,SLSMAN_16,11,2019,"3,504","3,402"
12774,PROD_62,SLSMAN_98,11,2019,"1,344","1,017"
12541,PROD_23,SLSMAN_97,11,2019,144,103
